date,close,open,high,low,volume,amount
2026-04-29,195273.72162353812,191496.25364332582,195273.72162353812,191496.25364332582,614221451.0,1126615371.0646
2026-04-30,197966.80958657287,195273.72162353812,197966.80958657287,195273.72162353812,656912728.0,1276194739.0575
2026-05-06,206553.75146402186,197966.80958657287,206553.75146402186,197966.80958657287,701177480.0,1465903193.4
2026-05-07,213319.7075107844,206553.75146402186,213319.7075107844,206553.75146402186,685574249.0,1359099509.9785
2026-05-08,217641.53346103214,213319.7075107844,217641.53346103214,213319.7075107844,697019094.0,1331673066.1308
2026-05-11,226430.45581220405,217641.53346103214,226430.45581220405,217641.53346103214,762736287.0,1584366746.2392
2026-05-12,228263.40603542453,226430.45581220405,228263.40603542453,226430.45581220405,718984002.0,1465272590.5791
2026-05-13,233860.06620077888,228263.40603542453,233860.06620077888,228263.40603542453,705018739.0,1447463947.6851
2026-05-14,233034.46374890118,233860.06620077888,233860.06620077888,233034.46374890118,764235004.0,1498116800.6216
2026-05-15,234082.67762496218,233034.46374890118,234082.67762496218,233034.46374890118,733162357.0,1519240026.4587
2026-05-18,234235.98142647248,234082.67762496218,234235.98142647248,234082.67762496218,627233137.0,1315084195.4472
2026-05-19,236082.17165160982,234235.98142647248,236082.17165160982,234235.98142647248,617611067.0,1306522478.0073
2026-05-20,236104.81964694912,236082.17165160982,236104.81964694912,236082.17165160982,624152035.0,1358926939.2202
2026-05-21,231834.69301206162,236104.81964694912,236104.81964694912,231834.69301206162,727218701.0,1595726694.7148
2026-05-22,236542.35792554892,231834.69301206162,236542.35792554892,231834.69301206162,589459644.0,1285847521.7372
2026-05-25,239654.0067792284,236542.35792554892,239654.0067792284,236542.35792554892,615930861.0,1445655378.3924
2026-05-26,238626.1059963186,239654.0067792284,239654.0067792284,238626.1059963186,654777756.0,1461685377.7477
2026-05-27,236862.72573689683,238626.1059963186,238626.1059963186,236862.72573689683,660467399.0,1473449050.9979
2026-05-28,240855.66987640335,236862.72573689683,240855.66987640335,236862.72573689683,621179950.0,1361325732.8784
2026-05-29,236980.54182010586,240855.66987640335,240855.66987640335,236980.54182010586,731597710.0,1532067352.9818
2026-06-01,235452.28945573815,236980.54182010586,236980.54182010586,235452.28945573815,676025806.0,1319801913.9509
2026-06-02,234974.19627630056,235452.28945573815,235452.28945573815,234974.19627630056,642244656.0,1280966176.1609
2026-06-03,236890.6611093421,234974.19627630056,236890.6611093421,234974.19627630056,668452583.0,1429755844.6078
2026-06-04,235227.56369824937,236890.6611093421,236890.6611093421,235227.56369824937,621194774.0,1274652182.4071
2026-06-05,236131.326200899,235227.56369824937,236131.326200899,235227.56369824937,662918577.0,1363887868.5149
2026-06-08,228015.82053297065,236131.326200899,236131.326200899,228015.82053297065,659293555.0,1267277235.7119
2026-06-09,232294.07161049658,228015.82053297065,232294.07161049658,228015.82053297065,576570090.0,1173088930.4133
2026-06-10,226786.8160027143,232294.07161049658,232294.07161049658,226786.8160027143,598694739.0,1227070067.0914
2026-06-11,223619.09127990092,226786.8160027143,226786.8160027143,223619.09127990092,568545244.0,1185554610.7341
